Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
BactV5V7-BC54-175_S54_L001	Bact_S175	175	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
BactV5V7-BC55-176_S55_L001	Bact_S176	176	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
BactV5V7-BC271-177_S271_L001	Bact_S177	177	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
BactV5V7-BC56-178_S56_L001	Bact_S178	178	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC57-179_S57_L001	Bact_S179	179	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC58-180_S58_L001	Bact_S180	180	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC59-181_S59_L001	Bact_S181	181	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC60-182_S60_L001	Bact_S182	182	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC61-183_S61_L001	Bact_S183	183	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC62-184_S62_L001	Bact_S184	184	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC63-185_S63_L001	Bact_S185	185	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC331-186_S331_L001	Bact_S186	186	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC332-187_S332_L001	Bact_S187	187	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC333-188_S333_L001	Bact_S188	188	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC334-189_S334_L001	Bact_S189	189	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC335-190_S335_L001	Bact_S190	190	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC336-191_S336_L001	Bact_S191	191	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
