Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
110;BactV5V7-BC67-198_S67_L001;Bact_S198;198;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.84740667756298;0.0376669222286287
111;BactV5V7-BC68-199_S68_L001;Bact_S199;199;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.40800885529305;0.0376669222286287
112;BactV5V7-BC69-200_S69_L001;Bact_S200;200;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.38722425838371;0.0376669222286287
113;BactV5V7-BC70-201_S70_L001;Bact_S201;201;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.84435995820158;0.0376669222286287
114;BactV5V7-BC71-202_S71_L001;Bact_S202;202;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.39169596252687;0.0376669222286287
115;BactV5V7-BC72-203_S72_L001;Bact_S203;203;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.74222424266535;0.0376669222286287
116;BactV5V7-BC73-205_S73_L001;Bact_S205;205;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.580005493571246;0.0376669222286287
117;BactV5V7-BC74-209_S74_L001;Bact_S209;209;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.36114555420691;0.0376669222286287
118;BactV5V7-BC75-210_S75_L001;Bact_S210;210;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.964949498995102;0.0376669222286287
119;BactV5V7-BC76-211_S76_L001;Bact_S211;211;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.55770115814273;0.0376669222286287
120;BactV5V7-BC77-217_S77_L001;Bact_S217;217;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.835983795452541;0.0376669222286287
121;BactV5V7-BC78-218_S78_L001;Bact_S218;218;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.77414442252889;0.0376669222286287
122;BactV5V7-BC79-219_S79_L001;Bact_S219;219;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.56522370721209;0.0376669222286287
123;BactV5V7-BC8-18_S8_L001;Bact_S18;18;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.61806602803635;0.79197087765874
