#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC42-201_S42_L001	201	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC43-202_S43_L001	202	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC44-203_S44_L001	203	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC45-204_S45_L001	204	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC46-205_S46_L001	205	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC47-206_S47_L001	206	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC48-207_S48_L001	207	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC49-208_S49_L001	208	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC50-209_S50_L001	209	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC51-210_S51_L001	210	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC52-211_S52_L001	211	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC53-212_S53_L001	212	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC54-213_S54_L001	213	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC55-214_S55_L001	214	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC56-215_S56_L001	215	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC57-216_S57_L001	216	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC58-217_S58_L001	217	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC59-218_S59_L001	218	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC60-219_S60_L001	219	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
